Psub_tag142952_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag142968_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag142975_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag142983_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag142998_1_36_R	CP021333.1	Marinobacter salarius	 Proteobacteria
Psub_tag143004_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143013_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143030_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143092_1_36_R	CP034142.1	Marinobacter sp. NP-4(2019)	 Proteobacteria
Psub_tag143121_1_36_R	AP013103.1	Bradyrhizobium elkanii USDA 61	 Proteobacteria
Psub_tag143144_3_38_F	CP028475.1	Celeribacter baekdonensis	 Proteobacteria
Psub_tag143166_2_37_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143175_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143230_1_36_R	CP016269.1	Flavobacteriaceae bacterium UJ101	 Bacteroidetes
Psub_tag143241_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143251_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143252_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143260_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143261_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143267_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143273_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143283_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143365_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143366_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143372_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143377_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143387_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143401_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143403_3_38_F	CP017715.1	Marinobacter salinus	 Proteobacteria
Psub_tag143433_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143463_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143477_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143498_3_38_F	LT907980.1	Marinobacter sp. LV10R510-11A	 Proteobacteria
Psub_tag143500_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143508_1_36_R	CP012398.1	Chelatococcus sp. CO-6	 Proteobacteria
Psub_tag143524_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143552_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143554_1_36_R	CP038438.1	Pseudomonas fluorescens	 Proteobacteria
Psub_tag143563_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143593_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143600_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143603_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143614_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143622_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143633_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143635_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143655_1_36_R	CP000239.1	Synechococcus sp. JA-3-3Ab	 Cyanobacteria
Psub_tag143677_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143689_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143699_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143751_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143808_3_38_F	CP027759.1	Pseudomonas sp. R2-7-07	 Proteobacteria
Psub_tag143820_1_36_R	AP019537.1	Marinobacter hydrocarbonoclasticus	 Proteobacteria
Psub_tag143836_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143869_3_38_F	CP034142.1	Marinobacter sp. NP-4(2019)	 Proteobacteria
Psub_tag143871_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143898_3_38_F	CP026674.1	Pseudomonas sp. SWI44	 Proteobacteria
Psub_tag143902_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143971_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143978_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag143980_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144002_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144006_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144015_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144021_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144039_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144044_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144079_1_36_R	CP011929.1	Marinobacter sp. CP1	 Proteobacteria
Psub_tag144105_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144122_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144137_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144152_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144184_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144191_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144202_1_36_R	CP031848.1	Marinobacter sp. Arc7-DN-1	 Proteobacteria
Psub_tag144207_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144242_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144265_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144299_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144307_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144324_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144336_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144369_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144373_1_36_R	CP034142.1	Marinobacter sp. NP-4(2019)	 Proteobacteria
Psub_tag144392_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144419_3_38_F	EU632100.1	uncultured Sphingomonadales bacterium	 Proteobacteria
Psub_tag144425_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144442_2_37_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144445_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144453_1_36_R	CP048711.1	Kineobactrum sp. M2	 Proteobacteria
Psub_tag144488_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144511_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144519_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144527_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144546_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144572_3_38_F	CP031848.1	Marinobacter sp. Arc7-DN-1	 Proteobacteria
Psub_tag144585_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144594_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144608_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144613_1_36_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144615_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144622_1_36_R	CP007151.1	Marinobacter similis	 Proteobacteria
Psub_tag144648_3_38_F	CP007151.1	Marinobacter similis	 Proteobacteria
